ticker,cik,concept,xbrl_tag,fiscal_year,period_end,first_filed,lag_days,filed_reliable,original_value,latest_value,restated,qa_status
NVDA,1045810,NetPPE,PropertyPlantAndEquipmentNet,2018,2018-01-28,2018-02-28,31,True,997000000,997000000,False,clean
NVDA,1045810,NetPPE,PropertyPlantAndEquipmentNet,2017,2017-01-29,2017-03-01,31,True,521000000,521000000,False,clean
NVDA,1045810,NetPPE,PropertyPlantAndEquipmentNet,2016,2016-01-31,2016-03-17,46,True,466000000,466000000,False,clean
NVDA,1045810,NetPPE,PropertyPlantAndEquipmentNet,2015,2015-01-25,2015-03-12,46,True,557282000,557000000,False,clean
TSLA,1318605,Revenue,Revenues,2025,2025-12-31,2026-01-29,29,True,94827000000,94827000000,False,clean
TSLA,1318605,Revenue,Revenues,2024,2024-12-31,2025-01-30,30,True,97690000000,97690000000,False,clean
TSLA,1318605,Revenue,Revenues,2023,2023-12-31,2024-01-29,29,True,96773000000,96773000000,False,clean
TSLA,1318605,Revenue,Revenues,2022,2022-12-31,2023-01-31,31,True,81462000000,81462000000,False,clean
TSLA,1318605,Revenue,Revenues,2021,2021-12-31,2022-02-07,38,True,53823000000,53823000000,False,clean
TSLA,1318605,Revenue,Revenues,2020,2020-12-31,2021-02-08,39,True,31536000000,31536000000,False,clean
TSLA,1318605,Revenue,Revenues,2019,2019-12-31,2020-02-13,44,True,24578000000,24578000000,False,clean
TSLA,1318605,Revenue,Revenues,2018,2018-12-31,2019-02-19,50,True,21461268000,21461000000,False,clean
TSLA,1318605,Revenue,Revenues,2017,2017-12-31,2018-02-23,54,True,11758751000,11759000000,False,clean
TSLA,1318605,Revenue,Revenues,2016,2016-12-31,2017-03-01,60,True,7000132000,7000132000,False,clean
TSLA,1318605,Revenue,Revenues,2015,2015-12-31,2016-02-24,55,True,4046025000,4046025000,False,clean
TSLA,1318605,Revenue,Revenues,2014,2014-12-31,2015-02-26,57,True,3198356000,3198356000,False,clean
TSLA,1318605,NetIncome,NetIncomeLoss,2025,2025-12-31,2026-01-29,29,True,3794000000,3794000000,False,clean
TSLA,1318605,NetIncome,NetIncomeLoss,2024,2024-12-31,2025-01-30,30,True,7091000000,7091000000,False,clean
TSLA,1318605,NetIncome,NetIncomeLoss,2023,2023-12-31,2024-01-29,29,True,14997000000,14997000000,False,clean
TSLA,1318605,NetIncome,NetIncomeLoss,2022,2022-12-31,2023-01-31,31,True,12556000000,12556000000,False,clean
TSLA,1318605,NetIncome,NetIncomeLoss,2021,2021-12-31,2022-02-07,38,True,5519000000,5519000000,False,clean
TSLA,1318605,NetIncome,NetIncomeLoss,2020,2020-12-31,2021-02-08,39,True,721000000,721000000,False,clean
TSLA,1318605,NetIncome,NetIncomeLoss,2019,2019-12-31,2020-02-13,44,True,-862000000,-862000000,False,clean
TSLA,1318605,NetIncome,NetIncomeLoss,2018,2018-12-31,2019-02-19,50,True,-976091000,-976000000,False,clean
TSLA,1318605,NetIncome,NetIncomeLoss,2017,2017-12-31,2018-02-23,54,True,-1961400000,-1962000000,False,clean
TSLA,1318605,NetIncome,NetIncomeLoss,2016,2016-12-31,2017-03-01,60,True,-674914000,-674914000,False,clean
TSLA,1318605,NetIncome,NetIncomeLoss,2015,2015-12-31,2016-02-24,55,True,-888663000,-888663000,False,clean
TSLA,1318605,NetIncome,NetIncomeLoss,2014,2014-12-31,2015-02-26,57,True,-294040000,-294040000,False,clean
TSLA,1318605,Assets,Assets,2025,2025-12-31,2026-01-29,29,True,137806000000,137806000000,False,clean
TSLA,1318605,Assets,Assets,2024,2024-12-31,2025-01-30,30,True,122070000000,122070000000,False,clean
TSLA,1318605,Assets,Assets,2023,2023-12-31,2024-01-29,29,True,106618000000,106618000000,False,clean
TSLA,1318605,Assets,Assets,2022,2022-12-31,2023-01-31,31,True,82338000000,82338000000,False,clean
TSLA,1318605,Assets,Assets,2021,2021-12-31,2022-02-07,38,True,62131000000,62131000000,False,clean
TSLA,1318605,Assets,Assets,2020,2020-12-31,2021-02-08,39,True,52148000000,52148000000,False,clean
TSLA,1318605,Assets,Assets,2019,2019-12-31,2020-02-13,44,True,34309000000,34309000000,False,clean
TSLA,1318605,Assets,Assets,2018,2018-12-31,2019-02-19,50,True,29739614000,29740000000,False,clean
TSLA,1318605,Assets,Assets,2017,2017-12-31,2018-02-23,54,True,28655372000,28655372000,False,clean
TSLA,1318605,Assets,Assets,2016,2016-12-31,2017-03-01,60,True,22664076000,22664076000,False,clean
TSLA,1318605,Assets,Assets,2015,2015-12-31,2016-02-24,55,True,8092460000,8067939000,False,clean
TSLA,1318605,Assets,Assets,2014,2014-12-31,2015-02-26,57,True,5849251000,5830667000,False,clean
TSLA,1318605,StockholdersEquity,StockholdersEquity,2025,2025-12-31,2026-01-29,29,True,82137000000,82137000000,False,clean
TSLA,1318605,StockholdersEquity,StockholdersEquity,2024,2024-12-31,2025-01-30,30,True,72913000000,72913000000,False,clean
TSLA,1318605,StockholdersEquity,StockholdersEquity,2023,2023-12-31,2024-01-29,29,True,62634000000,62634000000,False,clean
TSLA,1318605,StockholdersEquity,StockholdersEquity,2022,2022-12-31,2023-01-31,31,True,44704000000,44704000000,False,clean
TSLA,1318605,StockholdersEquity,StockholdersEquity,2021,2021-12-31,2022-02-07,38,True,30189000000,30189000000,False,clean
TSLA,1318605,StockholdersEquity,StockholdersEquity,2020,2020-12-31,2021-02-08,39,True,22225000000,22225000000,False,clean
TSLA,1318605,StockholdersEquity,StockholdersEquity,2019,2019-12-31,2020-02-13,44,True,6618000000,6618000000,False,clean
TSLA,1318605,StockholdersEquity,StockholdersEquity,2018,2018-12-31,2019-02-19,50,True,4923243000,4923000000,False,clean
TSLA,1318605,StockholdersEquity,StockholdersEquity,2017,2017-12-31,2018-02-23,54,True,4237242000,4237242000,False,clean
TSLA,1318605,StockholdersEquity,StockholdersEquity,2016,2016-12-31,2017-03-01,60,True,4752911000,4752911000,False,clean
TSLA,1318605,StockholdersEquity,StockholdersEquity,2015,2015-12-31,2016-02-24,55,True,1088944000,1083704000,False,clean
TSLA,1318605,StockholdersEquity,StockholdersEquity,2014,2014-12-31,2015-02-26,57,True,911710000,911710000,False,clean
TSLA,1318605,OperatingCashFlow,NetCashProvidedByUsedInOperatingActivities,2025,2025-12-31,2026-01-29,29,True,14747000000,14747000000,False,clean
TSLA,1318605,OperatingCashFlow,NetCashProvidedByUsedInOperatingActivities,2024,2024-12-31,2025-01-30,30,True,14923000000,14923000000,False,clean
TSLA,1318605,OperatingCashFlow,NetCashProvidedByUsedInOperatingActivities,2023,2023-12-31,2024-01-29,29,True,13256000000,13256000000,False,clean
TSLA,1318605,OperatingCashFlow,NetCashProvidedByUsedInOperatingActivities,2022,2022-12-31,2023-01-31,31,True,14724000000,14724000000,False,clean
TSLA,1318605,OperatingCashFlow,NetCashProvidedByUsedInOperatingActivities,2021,2021-12-31,2022-02-07,38,True,11497000000,11497000000,False,clean
TSLA,1318605,OperatingCashFlow,NetCashProvidedByUsedInOperatingActivities,2020,2020-12-31,2021-02-08,39,True,5943000000,5943000000,False,clean
TSLA,1318605,OperatingCashFlow,NetCashProvidedByUsedInOperatingActivities,2019,2019-12-31,2020-02-13,44,True,2405000000,2405000000,False,clean
